TRN_OP_DATE,STA_CODE,GATE_IN_COMING_CNT,GATE_OUT_GOING_CNT
20250101,0900,10754,10959
20250101,0910,1196,1481
20250101,0920,1716,2011
20250101,0930,4594,5324
20250101,0940,1949,2280
20250101,0950,1710,1766
20250101,0960,8443,9921
20250101,0970,5944,6996
20250101,0980,13570,12435
20250101,0990,15607,12759
20250101,1000,79928,56944
20250101,1010,4598,4770
20250101,1020,25688,23865
20250101,1030,2751,2934
20250101,1040,12240,14263
20250101,1050,1087,1313
20250101,1060,1395,1607
20250101,1070,6957,8150
20250101,1075,1676,2009
20250101,1080,26065,32030
20250101,1090,7732,10490
20250101,1100,24166,29973
20250101,1110,4756,6003
20250101,1120,4765,5716
20250101,1130,1671,2027
20250101,1140,250,287
20250101,1150,834,1002
20250101,1160,3388,3855
20250101,1170,6467,8637
20250101,1180,4982,5842
20250101,1190,1783,2039
20250101,1191,276,295
20250101,1192,1504,2112
20250101,1193,734,1036
20250101,1194,4114,2879
20250101,1201,65,72
20250101,1202,1852,201
20250101,1203,701,736
20250101,1204,192,161
20250101,1205,86,68
20250101,1206,67,101
20250101,1207,77,1741
20250101,1208,1045,920
20250101,1210,22388,25354
20250101,1220,1036,1176
20250101,1230,557,616
20250101,1240,250,244
20250101,1250,8179,9320
20250101,2110,92,80
20250101,2120,75,74
20250101,2130,798,1717
20250101,2140,32,29
20250101,2150,1466,1448
20250101,2160,54,52
20250101,2170,813,717
20250101,2180,1626,1694
20250101,2190,355,354
20250101,2200,3436,3328
20250101,2210,83,79
20250101,2220,1404,1375
20250101,2230,3057,3190
20250101,2240,558,541
20250101,2250,762,657
20250101,2260,5463,736
20250101,3140,348,330
20250101,3150,1240,927
20250101,3160,4314,5101
20250101,3170,95,110
20250101,3180,910,947
20250101,3190,739,774
20250101,3210,870,898
20250101,3220,2474,2535
20250101,3230,8440,8639
20250101,3240,878,908
20250101,3250,2557,2755
20250101,3260,702,641
20250101,3270,3332,2592
20250101,3280,2103,2103
20250101,3290,1421,1558
20250101,3300,37401,32431
20250101,3310,1633,1693
20250101,3320,3112,2640
20250101,3330,668,737
20250101,3340,9724,8289
20250101,3350,1106,5990
20250101,3360,12910,15428
20250101,3370,1145,1201
20250101,3380,781,863
20250101,3390,6494,6887
20250101,3400,575,547
20250101,3410,933,919
20250101,3420,2194,2155
20250101,3430,993,932
20250101,3431,15,17
20250101,3432,81,78
20250101,3433,5,5
20250101,3434,85,60
20250101,3435,56,56
20250101,3436,96,127
20250101,3450,892,866
20250101,3460,279,296
20250101,3470,5574,6319
20250101,3480,2044,2093
20250101,3490,122,134
20250101,4050,1512,2038
20250101,4060,1735,2377
20250101,4070,615,612
20250101,4080,10887,12169
20250101,4090,570,636
20250101,4100,238,221
20250101,4110,441,542
20250101,4120,4108,4689
20250101,4130,523,879
20250101,4140,428,518
20250101,4150,1317,1592
20250101,4160,198,224
20250101,4170,2859,3319
20250101,4180,937,1157
20250101,4190,2098,2346
20250101,4200,5251,4177
20250101,4210,2537,3149
20250101,4220,30567,28599
20250101,4250,1991,4111
20250101,4260,842,964
20250101,4270,395,428
20250101,4271,425,621
20250101,4272,3764,3484
20250101,4290,1198,2024
20250101,4300,1432,1819
20250101,4310,3265,3270
20250101,4320,1298,1365
20250101,4330,2342,2470
20250101,4340,12676,12482
20250101,4350,878,806
20250101,4360,872,823
20250101,4370,1291,1301
20250101,4380,935,744
20250101,4390,740,676
20250101,4400,21315,16762
20250101,4410,764,769
20250101,4420,1512,1616
20250101,4430,1268,1190
20250101,4440,5158,5736
20250101,4450,616,652
20250101,4460,1324,1457
20250101,4470,148,164
20250101,5000,10592,12059
20250101,5010,239,358
20250101,5020,232,231
20250101,5030,775,917
20250101,5040,338,367
20250101,5050,3885,4216
20250101,5060,41,36
20250101,5070,463,580
20250101,5080,19,23
20250101,5090,555,463
20250101,5100,165,146
20250101,5110,70,459
20250101,5120,1355,1116
20250101,5130,398,17
20250101,5140,3,0
20250101,5160,4,6
20250101,5190,215,229
20250101,5200,32,23
20250101,5210,848,654
20250101,5220,344,200
20250101,5230,843,833
20250101,5240,25,20
20250101,6000,7335,4174
20250101,6010,10,7
20250101,6020,220,145
20250101,6030,21,28
20250101,6040,5,4
20250101,6050,495,472
20250101,6060,6,12
20250101,6070,599,497
20250101,6080,141,147
20250101,6090,2,5
20250101,6100,9,10
20250101,6110,1202,1208
20250101,6120,10,9
20250101,6130,677,585
20250101,6140,31,42
20250101,6150,7,11
20250101,6160,381,427
20250101,6170,42,45
20250101,6180,287,254
20250101,6190,19,21
20250101,6200,23,24
20250101,6210,31,36
20250101,6220,338,372
20250101,6230,12,14
20250101,6240,260,510
